epoch,loss,main_output_loss,mid_output_loss
0,152.900263914,152.900263914,228.873190712
0,108.426915569,108.426915569,239.024150556
0,105.93759671,105.93759671,239.372909463
0,89.187965091,89.187965091,263.026784124
0,79.9359950818,79.9359950818,272.806748582
0,84.1327463992,84.1327463992,307.033948679
0,79.5879338513,79.5879338513,379.105755194
0,77.8723665992,77.8723665992,336.43614617
0,75.0509383919,75.0509383919,283.591921423
0,75.0037919705,75.0037919705,301.50816599
0,73.5022096884,73.5022096884,297.629468089
0,73.4743056533,73.4743056533,297.301390945
0,72.9672277183,72.9672277183,300.641187042
0,72.585979982,72.585979982,302.66115738
0,72.0355989444,72.0355989444,306.956621629
0,72.3636369233,72.3636369233,308.005632008
0,70.6947338293,70.6947338293,307.789871201
0,70.7866402172,70.7866402172,308.943932187
0,74.2607364831,74.2607364831,355.428563218
0,70.5414675529,70.5414675529,326.50132665
0,69.6626270237,69.6626270237,305.526247859
0,69.4287195039,69.4287195039,296.475903669
0,69.191366978,69.191366978,292.362323421
0,68.740504156,68.740504156,291.592327951
0,68.1215262719,68.1215262719,288.916111723
0,67.4670244919,67.4670244919,286.129482349
0,62.6196298542,62.6196298542,284.789172803
0,52.0559073748,52.0559073748,287.751832552
0,51.2443496773,51.2443496773,281.869705383
0,51.2466390311,51.2466390311,279.921664382
0,50.3986539116,50.3986539116,282.827621927
0,50.1232373481,50.1232373481,282.727749644
0,50.0469368654,50.0469368654,284.204320684
0,49.4287953379,49.4287953379,282.55940276
0,48.9501456617,48.9501456617,279.955245637
0,49.4872960065,49.4872960065,263.019288288
0,48.4870358346,48.4870358346,257.956845756
0,48.0011574922,48.0011574922,255.23754904
0,47.454516112,47.454516112,253.513330418
0,47.7690323565,47.7690323565,249.756649201
0,47.2384873391,47.2384873391,244.787818361
0,47.0280939312,47.0280939312,242.077454494
0,46.2686208123,46.2686208123,244.995268456
0,46.5940505023,46.5940505023,245.433421367
0,46.5531840026,46.5531840026,246.602876077
0,45.6461548227,45.6461548227,242.592913931
0,44.9187155817,44.9187155817,239.306288494
0,45.2248742551,45.2248742551,242.635617814
0,44.8227357099,44.8227357099,241.282110149
0,44.0854416669,44.0854416669,242.653822881
0,43.9809506854,43.9809506854,240.508781597
0,43.842639046,43.842639046,242.910644167
0,43.0963087937,43.0963087937,243.303792003
0,42.5213170012,42.5213170012,239.060762227
0,42.314179086,42.314179086,241.60846194
0,42.7991424791,42.7991424791,239.561761265
0,41.1967435273,41.1967435273,235.433582618
0,41.5595152474,41.5595152474,237.223381892
0,40.8935696638,40.8935696638,236.093901424
0,39.6006437991,39.6006437991,231.402465192
0,38.4248622288,38.4248622288,228.92261572
0,38.5276676309,38.5276676309,230.931430582
0,38.507694045,38.507694045,232.130150986
0,37.5007596643,37.5007596643,229.110538538
0,36.8376558474,36.8376558474,232.100346605
0,35.8347194986,35.8347194986,230.829632165
0,36.2871903672,36.2871903672,233.946558767
0,34.476996674,34.476996674,234.049248603
0,34.6079955439,34.6079955439,234.637371967
0,34.0102730693,34.0102730693,232.83837133
0,33.3126424237,33.3126424237,232.67515519
0,33.5284985622,33.5284985622,231.245110346
0,33.4708837391,33.4708837391,229.548252696
0,32.4075985347,32.4075985347,228.796686094
0,31.2335920474,31.2335920474,229.758197673
0,31.6628752941,31.6628752941,231.675765455
0,30.8581004907,30.8581004907,229.236340983
0,30.2932719409,30.2932719409,227.55432332
0,29.4572790341,29.4572790341,226.565802125
0,29.0536869254,29.0536869254,227.828706277
0,28.4327917377,28.4327917377,228.612936636
0,28.7327996732,28.7327996732,228.995857139
0,27.4552347639,27.4552347639,225.015831398
0,27.5917494122,27.5917494122,225.407745347
0,26.9729419341,26.9729419341,225.814208986
0,26.0224160237,26.0224160237,224.563338809
0,26.3384058597,26.3384058597,224.69802847
0,26.1847569504,26.1847569504,228.903848929
0,24.759886251,24.759886251,228.17052573
0,24.5625099444,24.5625099444,227.424346523
0,24.3126340049,24.3126340049,228.102477645
0,23.8500285897,23.8500285897,226.898871811
0,23.4149612106,23.4149612106,227.212963943
0,23.3366234985,23.3366234985,226.374631572
0,24.2056673003,24.2056673003,227.038254597
0,23.323543861,23.323543861,223.98946295
0,22.5180682785,22.5180682785,224.245388607
0,21.8413325113,21.8413325113,226.883610539
0,20.9316654861,20.9316654861,225.261095095
0,22.8420280174,22.8420280174,227.37219375
0,48.3023718632,48.3023718632,254.972076598
0,39.9630817307,39.9630817307,246.991072503
0,29.6021932386,29.6021932386,233.385727761
0,24.8072087755,24.8072087755,234.725391155
0,23.0684069419,23.0684069419,233.125521903
0,21.8598143461,21.8598143461,232.925029128
0,21.0834633715,21.0834633715,233.108154622
0,20.687077502,20.687077502,233.488126203
0,21.3047415694,21.3047415694,232.713619674
0,20.2579601479,20.2579601479,230.375016874
0,19.5133067543,19.5133067543,230.884580053
0,19.8269956254,19.8269956254,230.561591907
0,19.3296559085,19.3296559085,230.741051422
0,18.6180310564,18.6180310564,227.815569278
0,18.6650242444,18.6650242444,229.520836462
0,18.5239541688,18.5239541688,228.444292058
0,18.365660228,18.365660228,229.1643584
0,18.6314988397,18.6314988397,228.653957261
0,18.1973512633,18.1973512633,228.464832649
0,17.604375374,17.604375374,228.663495056
0,17.2911620922,17.2911620922,228.564222522
0,17.1433500288,17.1433500288,229.10690258
0,17.5812775776,17.5812775776,228.642416295
0,16.7072545007,16.7072545007,228.250486806
0,16.7188176427,16.7188176427,227.782103174
0,16.1777842209,16.1777842209,227.684601826
0,15.7576548323,15.7576548323,228.115612859
0,15.5216552015,15.5216552015,228.288062434
0,15.2292258134,15.2292258134,225.160318222
0,15.4929968165,15.4929968165,226.581402202
0,15.4475223842,15.4475223842,227.412799616
0,15.6221682719,15.6221682719,227.660578318
0,15.9646463803,15.9646463803,225.9646367
0,15.3861728785,15.3861728785,226.204089876
0,15.2696805064,15.2696805064,225.590657861
0,14.9775363812,14.9775363812,227.125665132
0,14.6094464199,14.6094464199,225.828329913
0,14.4727414509,14.4727414509,225.654721526
0,14.1137679392,14.1137679392,224.994978091
0,14.4846603217,14.4846603217,224.663518673
0,14.123213952,14.123213952,223.662072149
0,14.0732963926,14.0732963926,222.657668813
0,14.2256149448,14.2256149448,221.794969532
0,14.0609991866,14.0609991866,223.305094644
0,13.8926903597,13.8926903597,224.033661393
0,13.3429503493,13.3429503493,224.017553253
0,13.4757525706,13.4757525706,224.679253145
0,13.2115582834,13.2115582834,225.121023501
0,12.9186817839,12.9186817839,223.319512645
0,13.2345075726,13.2345075726,223.217463923
0,13.1700554903,13.1700554903,223.268698608
0,12.5324539392,12.5324539392,223.886316352
0,12.4828213853,12.4828213853,225.478633298
0,12.3925345823,12.3925345823,224.100358958
0,11.9884399874,11.9884399874,224.981514225
0,12.5313573882,12.5313573882,223.913410367
0,12.6127203625,12.6127203625,224.058344357
0,12.2341943117,12.2341943117,223.242407883
0,11.9559049566,11.9559049566,224.287660065
0,11.9658388539,11.9658388539,223.645031719
0,11.948386986,11.948386986,223.555906894
0,12.1490004777,12.1490004777,223.152345316
0,11.7842890585,11.7842890585,222.860602344
0,11.57816741,11.57816741,224.414671429
0,11.2156727481,11.2156727481,222.438750422
0,11.8644785327,11.8644785327,224.588365738
0,11.4094718587,11.4094718587,223.743449313
0,10.983084639,10.983084639,223.565159051
0,11.0835264035,11.0835264035,224.1841196
0,11.208720915,11.208720915,222.773389707
0,10.8866872882,10.8866872882,222.818707273
0,10.4424784383,10.4424784383,223.036814919
0,10.6728951068,10.6728951068,222.780689162
0,10.5552329993,10.5552329993,222.697706996
0,10.4628050116,10.4628050116,223.238294139
0,10.8619070742,10.8619070742,222.171292381
0,10.3841746322,10.3841746322,223.177479835
0,10.2139564112,10.2139564112,222.146191525
0,10.1561209474,10.1561209474,222.665319431
0,9.99428513929,9.99428513929,223.411657465
0,9.78928123829,9.78928123829,223.622581025
0,10.1643745455,10.1643745455,222.827085451
0,9.83862360832,9.83862360832,222.841480843
0,9.84350266965,9.84350266965,222.134363556
0,9.6656903266,9.6656903266,222.331827585
0,9.62593769098,9.62593769098,222.530175942
0,9.61313053861,9.61313053861,221.845485681
0,9.4348173216,9.4348173216,223.391697885
0,9.62322835767,9.62322835767,222.419021332
0,9.58301140052,9.58301140052,223.442471048
0,9.32112768294,9.32112768294,221.777856134
0,9.64313442725,9.64313442725,221.705235328
0,9.52414664043,9.52414664043,222.252282462
0,9.10923756802,9.10923756802,221.670880547
0,9.41219340912,9.41219340912,221.916391905
