epoch,generator_TD_Dense_0_loss,loss,model_1_loss
0,5.21478932198,5.09050569421,4.96622206644
0,5.01947440363,3.47766549149,1.93585657935
0,5.02997065915,3.29964740257,1.56932414599
0,5.03644455389,3.22925773835,1.42207092281
0,5.04102187952,3.17585370483,1.31068553013
0,5.04572824143,3.11311887723,1.18050951304
0,5.05050765198,3.06665774976,1.08280784755
0,5.05676649346,3.03825904163,1.01975158979
0,5.0633414998,3.01745299068,0.971564481557
0,5.07085342185,3.00218919945,0.933524977046
0,5.07591256107,2.98250698219,0.889101403314
0,5.07663883679,2.96643556413,0.856232291466
0,5.09162356004,2.95690226609,0.822180972149
0,5.09349558004,2.94164739589,0.789799211733
0,5.09932409082,2.9185114473,0.737698803771
0,5.1031574459,2.88203701766,0.660916589425
0,5.11438996044,2.86401896155,0.613647962665
0,5.1718801927,2.87894526484,0.586010336987
0,5.18636076575,2.87313961898,0.559918472213
0,5.19024334111,2.86456632028,0.53888929945
0,5.19349505864,2.85734713213,0.52119920561
0,5.19595707699,2.84942784944,0.502898621894
0,5.1974549443,2.84254152143,0.487628098564
0,5.19829487665,2.83448342164,0.470671966627
0,5.199486685,2.82815503758,0.456823390164
