epoch,loss,model_2_loss_1,model_2_loss_2
0,3.5212403188,5.29075329904,3.5212403188
0,2.20734758729,5.32486274695,2.20734758729
0,1.83860919544,5.15790339109,1.83860919544
0,1.59714806828,5.14239626539,1.59714806828
0,1.42705110591,5.17472138171,1.42705110591
0,1.32274827453,5.20869367968,1.32274827453
0,1.25056264145,5.23473111742,1.25056264145
0,1.20336516216,5.23209403096,1.20336516216
0,1.16904467101,5.23822481861,1.16904467101
0,1.14176841781,5.2507014799,1.14176841781
0,1.11271357997,5.2494674382,1.11271357997
0,1.09161819344,5.23136704364,1.09161819344
0,1.07272088127,5.22349839025,1.07272088127
0,1.05216663008,5.21649851161,1.05216663008
0,1.03658618622,5.21892002411,1.03658618622
0,1.02197364476,5.20133933296,1.02197364476
0,1.00864746603,5.19893997182,1.00864746603
0,0.997949060141,5.19907671891,0.997949060141
0,0.987454230406,5.1787401039,0.987454230406
0,0.979962317596,5.16588463579,0.979962317596
0,0.973039629665,5.15639260315,0.973039629665
0,0.966409011723,5.14761744242,0.966409011723
0,0.963714854779,5.14481554035,0.963714854779
