epoch,loss,main_output_loss,mid_output_loss
0,152.223074779,124.820219177,137.014275968
0,104.349230198,83.5989888005,103.751205439
0,97.2398757188,79.8777862958,86.8104458216
0,91.8707015381,78.4003014783,67.3519992954
0,88.8142459664,77.0179475208,58.9814913489
0,85.9100392503,74.4992485694,57.0539525544
0,82.5609093375,71.4722453117,55.4433193028
0,81.1605548556,70.3949763407,53.8278917723
0,77.6747471603,67.2716032288,52.0157188823
0,76.7322166552,66.5505726478,50.9082192783
0,74.8140903111,64.9137819722,49.501540957
0,73.597468633,63.9368161413,48.3032617391
0,71.5052501744,61.9987195956,47.5326521858
0,68.3692785533,58.9462794656,47.1149947365
0,69.1311405414,59.7169823595,47.0707902081
0,66.8879336597,57.6018762138,46.4302865376
0,64.9419628179,55.7795462166,45.8120823237
0,64.8710355431,55.8498868975,45.1057425559
0,63.7102676927,54.8350653002,44.3760113012
0,63.460238252,54.6076243913,44.2630686437
0,63.6212512024,54.7736625161,44.2379427724
0,58.7581033491,50.0568320867,43.5063556639
0,51.1493072896,42.5128437786,43.1823169114
0,49.312156985,40.7643355247,42.7391066646
0,49.083408294,40.5364168249,42.7349567087
0,48.1309847044,39.6765770948,42.2720374184
0,47.0089401158,38.6495867251,41.7967663308
0,45.9183091007,37.6602512817,41.2902884795
0,47.3459495548,39.0336487462,41.5615034238
0,46.8408058293,38.5755142828,41.3264571165
0,45.7307283592,37.5540149501,40.8835664363
0,45.0475601051,36.9180010808,40.647794516
0,45.1666684024,37.0516207471,40.5752376717
0,44.0657106843,35.973364716,40.4617292383
0,44.043950967,36.0178455177,40.1305266486
0,43.1298039918,35.1406601303,39.9457187119
0,44.2411523867,36.2336919668,40.037301503
0,42.1748996112,34.2550619551,39.5991876904
0,42.2489812089,34.327396857,39.6079211696
0,42.7910833338,34.940392975,39.2534512093
0,41.0375501275,33.2533937481,38.9207813168
0,41.020558192,33.1663550932,39.2710149088
0,40.8116180467,32.9976320597,39.0699293531
0,40.0424492166,32.2303028001,39.0607315007
0,39.5766344675,31.8215061208,38.7756411555
0,39.536230387,31.8497240869,38.4325309274
0,38.9284405579,31.1903392793,38.6905058163
0,39.2171821126,31.5099256577,38.5362817004
0,38.1840808313,30.514738266,38.3467122555
0,38.0377595372,30.4320856667,38.0283687858
0,38.5214517976,30.9119582904,38.0474669687
0,37.1262517209,29.5393264434,37.9346258222
0,36.9152595164,29.4073204161,37.539694942
0,36.2416884036,28.6730029943,37.8434264823
0,36.0313632432,28.4896161406,37.7087349513
0,36.0804987501,28.6357410075,37.2237881585
0,35.5372328038,28.0695371977,37.3384774741
0,36.2448737636,28.7292279127,37.5782286946
0,34.6072877883,27.1815564421,37.1286561779
0,34.5231223707,27.1615733545,36.8077445322
0,34.4626795868,27.1226995956,36.6998994095
0,34.6101128681,27.2207344042,36.9468917693
0,33.5668528484,26.2642116903,36.5132052464
0,33.6612722485,26.3582886041,36.514917678
0,33.0020697162,25.7584609502,36.2180432905
0,32.3739510531,25.1243772182,36.2478686341
0,33.0663791204,25.7691060481,36.4863648175
0,32.1658951622,24.9409437112,36.1247567165
0,31.7228694531,24.562927641,35.799708527
0,31.1364652542,23.9376661688,35.9939948907
0,31.0807350375,23.884595259,35.9806983565
0,30.5000941765,23.4403481599,35.2987295569
0,31.588224205,24.4320732301,35.7807543411
0,30.2740864723,23.1781917903,35.4794728812
0,29.3523479432,22.3262226143,35.1306261208
0,29.2024147756,22.1919848056,35.0521493277
0,29.5719399821,22.5712297445,35.0035506664
0,29.4182672175,22.3919900612,35.1313852579
0,29.4539542154,22.4213131348,35.163204879
0,28.3110178999,21.4430054262,34.3400618565
0,28.563453626,21.6332968888,34.6507831695
0,28.4691013351,21.5508332106,34.5913401073
0,27.8584559202,20.9231966416,34.6762958764
0,28.6602329121,21.7576789241,34.5127694261
0,27.4534710077,20.5598211545,34.4682487523
0,26.970582346,20.1153078344,34.2763720476
0,27.1263624024,20.3126149312,34.0687368484
0,26.7117100534,19.8951718799,34.0826903595
0,26.1656211795,19.3603911584,34.0261495984
0,26.2934887923,19.5545093341,33.694896789
0,25.3924205913,18.6147613612,33.8882956457
0,25.4420246751,18.6919946425,33.7501496602
0,25.1804774618,18.4068198352,33.8682876286
0,25.0708670417,18.3340596777,33.684036318
0,24.3565612108,17.6771036173,33.3972874702
0,25.4164256175,18.7289418267,33.4374184557
0,24.2665873002,17.6276055834,33.1949080893
0,24.1907607648,17.4676821165,33.6153927406
0,24.3587676448,17.7079333644,33.2541709067
0,24.8337203901,18.1878501861,33.2293505248
0,23.7169663707,17.0583377618,33.2931425484
0,23.4769012957,16.8958968007,32.9050219846
0,23.709908501,17.0750003551,33.1745402348
0,23.2297277069,16.5973937255,33.1616694129
0,22.6978380169,16.1554647457,32.7118658688
0,22.8957745608,16.2568951378,33.1943966207
0,23.0007384073,16.4200839161,32.9032719654
0,21.8811870647,15.3579603018,32.6161333285
0,21.800633432,15.2776194592,32.6150693779
0,21.7493001308,15.1888307628,32.8023463512
0,22.0872349305,15.5629320884,32.6215137245
0,21.7122094154,15.1792946502,32.6645733391
0,20.5826908331,14.1565345681,32.1307808465
0,21.4930495905,15.0113673356,32.4084107916
0,21.6867451102,15.2112796778,32.3773266795
0,20.4500907901,13.9883898481,32.3085042282
0,21.5863400468,15.0381744622,32.7408274349
0,20.6889374956,14.217304369,32.3581651509
0,20.3364546723,13.8618641216,32.3729522709
0,20.238092641,13.7581328605,32.3997984195
0,20.4071653748,13.9650337394,32.2106576969
0,19.9662488501,13.548734223,32.0875726572
0,19.2186825564,12.8316268426,31.935278093
0,20.164347672,13.700463472,32.3194205184
0,19.3704089521,12.995580301,31.8741427803
0,19.1031480664,12.700902199,32.0112288597
0,19.8198901543,13.4003550508,32.097675039
0,19.247970552,12.885186514,31.8139197159
0,18.6098517557,12.2464855694,31.8168304572
0,18.9584222689,12.5906904446,31.8386586475
0,19.3981281799,13.0717970721,31.631655068
0,18.8617567473,12.4886915426,31.8653255486
0,18.4264359594,12.108389773,31.5902304609
0,18.0206251396,11.7334558712,31.4358458735
0,18.1023215933,11.7844890609,31.5891621913
0,18.200866724,11.8576132174,31.7162670603
0,18.2401721121,11.9457702189,31.4720089968
0,18.1492942022,11.7886107913,31.8034165805
0,18.0542136504,11.7773094172,31.3845206984
0,17.5956372058,11.3025513416,31.4654288524
0,17.8382912848,11.5617223816,31.3828440481
0,17.4225561833,11.1856909327,31.1843257883
0,17.2593990229,10.9984040893,31.3049742015
0,17.1759642521,10.9100033795,31.3298038961
0,17.4471550578,11.2041049323,31.2152501623
0,17.0507195088,10.8294086459,31.1065538511
0,17.384716229,11.1103909282,31.3716260363
0,16.6572401054,10.4309797498,31.1313013141
0,17.4564343813,11.2097759725,31.2332915783
0,16.6901794926,10.4544165166,31.1788144158
0,16.8404486347,10.610931241,31.1475865041
0,16.9900054864,10.7936087652,30.9819831447
0,16.4862617324,10.2712191259,31.0752125694
0,16.1403233309,9.961314583,30.895043279
0,16.5408577789,10.3761878476,30.8233491971
0,16.3085231742,10.1157075329,30.9640777451
0,16.4007577555,10.2446999864,30.7802883869
0,15.9512371684,9.77318016356,30.8902845637
0,15.9660126965,9.77905809641,30.9347725396
0,15.9591113158,9.83548911029,30.6181105714
0,16.2846867348,10.1165925243,30.8404705931
0,15.74471922,9.63805566798,30.5333173049
0,15.3180773532,9.21428014585,30.5189855819
0,15.557923617,9.43829329781,30.5981511399
0,15.6201176815,9.50930636982,30.554056103
0,15.4393803257,9.3384018417,30.5048919655
0,15.2911758179,9.19700878481,30.4708347113
0,15.7608439171,9.60174305394,30.7955038571
0,15.4925705536,9.4179215785,30.3732444229
0,15.2685860712,9.20073117787,30.3392740148
0,15.3951519599,9.30929104174,30.4293041374
0,15.0040918805,8.95845203067,30.2281987985
0,15.3034074863,9.17828170002,30.6256284749
0,14.5513641213,8.49614404989,30.2760999061
0,14.9712924077,8.92419804039,30.2354713858
0,14.7027432576,8.64326349069,30.297398383
