epoch,loss,model_1_loss_1,model_1_loss_2
0,8.26586146143,8.31343606154,8.21828686132
0,6.55833429775,6.80845053985,6.30821805565
0,6.44152174815,6.89702984581,5.98601365049
0,6.26115165173,6.78189933127,5.74040397219
0,5.84182771302,6.52003154167,5.16362388437
0,5.8405394282,6.62091390519,5.06016495121
0,5.71236290465,6.56594882748,4.85877698183
0,5.67073768416,6.64828479963,4.69319056868
0,5.65949883443,6.68075669411,4.63824097475
0,5.6468097464,6.72671425419,4.5669052386
0,5.5913420247,6.71285953896,4.46982451043
