epoch,loss,main_output_loss,mid_output_loss
0,174.245434835,174.245434835,207.936719481
0,179.657727762,179.657727762,195.414513643
0,162.722081763,162.722081763,199.485798267
0,155.620864916,155.620864916,212.860771045
0,114.561267926,114.561267926,206.670411405
0,104.477579552,104.477579552,202.961321832
0,103.803370525,103.803370525,205.909873328
0,100.15018007,100.15018007,205.240707628
0,96.7987889586,96.7987889586,201.648164074
0,93.5720666443,93.5720666443,207.225058169
0,89.4619666094,89.4619666094,203.212370474
