epoch,loss,main_output_loss,mid_output_loss
0,5.58344564877,4.60544132343,4.89002155385
0,4.5130326613,3.73472772132,3.8915246419
0,4.01583330348,3.31007888454,3.52877204213
0,3.74086184745,3.07405090222,3.33405467643
0,3.56833606222,2.92778521503,3.20275418823
0,3.43875653834,2.81882636944,3.0996507983
0,3.33857820359,2.73504934915,3.01764422723
0,3.25557436982,2.66675520873,2.94409576154
0,3.19236636356,2.61653381781,2.87916268585
0,3.14387031745,2.57812901265,2.82870648184
0,3.10012862444,2.54291454487,2.78607035631
0,3.07045114171,2.51998164729,2.75234743108
0,3.03842965565,2.4942434944,2.72093076575
0,3.00962247345,2.47121756643,2.692024495
0,2.9778679769,2.44490478164,2.66481593659
0,2.94416752545,2.41667273155,2.63747393019
0,2.90943796747,2.38773498371,2.60851487993
0,2.87904126522,2.3628282671,2.58106495211
0,2.86031652345,2.34905766343,2.55629426201
0,2.83621634184,2.32947350739,2.53371413448
0,2.81961525709,2.31708065325,2.51267298176
0,2.80454294264,2.30590231147,2.49320311872
0,2.78951487383,2.29413133003,2.47691768211
0,2.77781882189,2.28492840886,2.46445202842
0,2.76724740066,2.27642434249,2.45411525426
0,2.75718757529,2.26826142003,2.44463073988
0,2.74507399993,2.25758137828,2.43746307192
0,2.74003516367,2.25358506512,2.43225045651
0,2.72768741491,2.24268223192,2.42502587884
0,2.72217211915,2.23802092793,2.42075592007
0,2.71154836731,2.22838316884,2.41582595635
0,2.7060734231,2.22366827486,2.41202570525
0,2.69760910843,2.21601860041,2.40795250426
0,2.69177632987,2.21089100953,2.40442656587
0,2.68560511564,2.20527962245,2.40162743017
0,2.67735471788,2.19777008093,2.39792314899
0,2.67130886611,2.19226856725,2.39520145863
0,2.66492298725,2.18635284334,2.3928506839
0,2.65995865931,2.18175145813,2.39103597026
0,2.65524628065,2.17738579764,2.38930237943
0,2.64882096544,2.17128853582,2.38766211253
0,2.64248976721,2.16548701027,2.38501374914
0,2.63675313081,2.16006247089,2.38345326405
0,2.63232835975,2.15591111112,2.38208620768
0,2.62575216952,2.1495899847,2.38081088862
0,2.62376452055,2.14787456026,2.37944976598
0,2.61900561543,2.14321851801,2.37893545161
0,2.61575999907,2.1401928102,2.3778359089
0,2.60916068439,2.13366111865,2.37749779326
0,2.6073222822,2.13214543375,2.37588420683
0,2.60319483978,2.12801397571,2.37590428496
0,2.59763407037,2.12269933579,2.37467363751
